place,lac,ci,lon,lat,2G_3G,people
MY0341C1_绵阳达沃斯酒店-3,33111,57996,104.66656,31.46801,2,5
MY0466A1_绵阳青义邮政-1,33111,58044,104.70015,31.53093,2,0.5
MY0466B1_绵阳青义邮政-2,33111,58045,104.70015,31.53093,2,0.5
MY0466C1_绵阳青义邮政-3,33111,58046,104.70015,31.53093,2,5
MY0508A1_绵阳太阳城-1,33111,58054,104.69065,31.48535,2,0.5
MY0508B1_绵阳太阳城-2,33111,58055,104.69065,31.48535,2,0.5
MY0508C1_绵阳太阳城-3,33111,58056,104.69065,31.48535,2,3
MY0380A1_绵阳戈家庙农家乐-1,33111,58384,104.629167,31.481667,2,0.5
MY0380B1_绵阳戈家庙农家乐-2,33111,58385,104.629167,31.481667,2,0.5
MY0380C1_绵阳戈家庙农家乐-3,33111,58386,104.629167,31.481667,2,4
MY0447A1_绵阳猫林-1,33111,59531,104.7814,31.35534,2,4
MY0447B1_绵阳猫林-2,33111,59532,104.7814,31.35534,2,4
MY0447C1_绵阳猫林-3,33111,59533,104.7814,31.35534,2,4
MY0384A1_绵阳关帝-1,33111,59541,104.77914,31.32135,2,4
MY0384B1_绵阳关帝-2,33111,59542,104.77914,31.32135,2,4
MY0384C1_绵阳关帝-3,33111,59543,104.77914,31.32135,2,1
MY0487A1_绵阳石洞-1,33111,59551,104.68085,31.3283,2,1
MY0487B1_绵阳石洞-2,33111,59552,104.68085,31.3283,2,1
MY0487C1_绵阳石洞-3,33111,59553,104.68085,31.3283,2,2
MY0344A1_绵阳倒座庙-1,33111,59561,104.6339,31.37766,2,2
MY0344B1_绵阳倒座庙-2,33111,59562,104.6339,31.37766,2,1
MY0344C1_绵阳倒座庙-3,33111,59563,104.6339,31.37766,2,1
MY0343A1_绵阳大石桥-1,33111,59571,104.5993,31.3691,2,1
MY0343B1_绵阳大石桥-2,33111,59572,104.5993,31.3691,2,0.5
MY0343C1_绵阳大石桥-3,33111,59573,104.5993,31.3691,2,1
MY0449A1_绵阳梅家沟-1,33111,59581,104.61493,31.40235,2,1
MY0449B1_绵阳梅家沟-2,33111,59582,104.61493,31.40235,2,0.5
MY0449C1_绵阳梅家沟-3,33111,59583,104.61493,31.40235,2,2
MY0601A1_绵阳玉皇老君-1,33111,59591,104.74452,31.30092,2,2
MY0601B1_绵阳玉皇老君-2,33111,59592,104.74452,31.30092,2,0.5
MY0601C1_绵阳玉皇老君-3,33111,59593,104.74452,31.30092,2,1
MY0493A1_绵阳曙光招待-1,33111,6021,104.72059,31.46634,2,0.5
MY0493B1_绵阳曙光招待-2,33111,6022,104.72059,31.46634,2,4
MY0493C1_绵阳曙光招待-3,33111,6023,104.72059,31.46634,2,0.5
